date,event,village,fisher_code,tui_number,taxonomic_code,length_cm,family,genus,species
8/16/20,HAAPITI_95,Varari,HV002,2,Acanthurus blochii,30.1,Acanthuridae,Acanthurus,Acanthurus blochii
8/16/20,HAAPITI_95,Varari,HV002,2,Acanthurus blochii,27.96,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,19.95,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,20.01,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,17.41,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,18.79,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,18.96,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,19.24,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,20.42,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,21.64,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,17.81,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,19.76,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,20.75,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,18.58,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,19.11,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,16.48,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,19.35,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,20.41,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,17.06,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,18.44,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,19.17,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,18.86,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,19.49,Acanthuridae,Acanthurus,Acanthurus blochii
5/24/20,ISLAND_32,Vaiare,AM039,4,Acanthurus blochii,20.8,Acanthuridae,Acanthurus,Acanthurus blochii
6/21/20,NORTH_14,Maharepa,PM005,6,Acanthurus blochii,24.77,Acanthuridae,Acanthurus,Acanthurus blochii
3/21/21,NORTH_141,Vaiare,TV005,9,Acanthurus blochii,23.65,Acanthuridae,Acanthurus,Acanthurus blochii
3/21/21,NORTH_141,Vaiare,TV005,2,Acanthurus blochii,16.67,Acanthuridae,Acanthurus,Acanthurus blochii
3/21/21,NORTH_141,Vaiare,TV005,2,Acanthurus blochii,18.48,Acanthuridae,Acanthurus,Acanthurus blochii
3/21/21,NORTH_141,Vaiare,TV005,6,Acanthurus blochii,26.93,Acanthuridae,Acanthurus,Acanthurus blochii
3/21/21,NORTH_141,Vaiare,TV005,6,Acanthurus blochii,25.08,Acanthuridae,Acanthurus,Acanthurus blochii
8/2/20,NORTH_54,Paopao,PP003,3,Acanthurus blochii,31.76,Acanthuridae,Acanthurus,Acanthurus blochii
11/15/20,WEST_38,Haapiti,HH008,1,Acanthurus blochii,27.66,Acanthuridae,Acanthurus,Acanthurus blochii
8/23/20,HAAPITI_97,Papetoai,OP012,1,Acanthurus lineatus,17.65,Acanthuridae,Acanthurus,Acanthurus lineatus
5/10/20,ISLAND_12,Vaiare,AM039,2,Acanthurus lineatus,23.74,Acanthuridae,Acanthurus,Acanthurus lineatus
11/8/20,NORTH_101,Papetoai,OP012,1,Acanthurus lineatus,23.86,Acanthuridae,Acanthurus,Acanthurus lineatus
11/8/20,NORTH_101,Papetoai,OP012,1,Acanthurus lineatus,21.28,Acanthuridae,Acanthurus,Acanthurus lineatus
11/8/20,NORTH_101,Papetoai,OP012,1,Acanthurus lineatus,19.77,Acanthuridae,Acanthurus,Acanthurus lineatus
1/10/21,NORTH_123,Papetoai,OP012,1,Acanthurus lineatus,17.44,Acanthuridae,Acanthurus,Acanthurus lineatus
1/10/21,NORTH_123,Papetoai,OP012,1,Acanthurus lineatus,20.61,Acanthuridae,Acanthurus,Acanthurus lineatus
1/10/21,NORTH_123,Papetoai,OP012,1,Acanthurus lineatus,24.91,Acanthuridae,Acanthurus,Acanthurus lineatus
1/10/21,NORTH_123,Papetoai,OP012,1,Acanthurus lineatus,20.64,Acanthuridae,Acanthurus,Acanthurus lineatus
1/24/21,NORTH_130,Papetoai,OP012,5,Acanthurus lineatus,16.7,Acanthuridae,Acanthurus,Acanthurus lineatus
1/24/21,NORTH_130,Papetoai,OP012,5,Acanthurus lineatus,16.64,Acanthuridae,Acanthurus,Acanthurus lineatus
1/24/21,NORTH_130,Papetoai,OP012,5,Acanthurus lineatus,16.19,Acanthuridae,Acanthurus,Acanthurus lineatus
1/31/21,NORTH_133,Papetoai,OP012,1,Acanthurus lineatus,19.64,Acanthuridae,Acanthurus,Acanthurus lineatus
2/7/21,NORTH_136,Papetoai,OP012,1,Acanthurus lineatus,17.19,Acanthuridae,Acanthurus,Acanthurus lineatus
2/7/21,NORTH_136,Papetoai,OP012,3,Acanthurus lineatus,24.68,Acanthuridae,Acanthurus,Acanthurus lineatus
